text,class
Sản phẩm có kèm thêm bút ko,0
giữa chíp exynos 9611 và mediatex helio p70 thì chíp nào mạnh hơn vậy ạ,1
Dán m ipad bao nhiêu ạ,0
Dan mat lưng đien thoai bao nhiêu a,4
Cho hỏi samsung galaxy tab s6 lite chụp ảnh ko có đèn flash à. Có đèn pin ko,3
Sản phẩm còn tặng kèm book cover ko shop,0
"shop có bản lẻ bút SPen không ạ, em bị mất bút rồi ạ",2
Mình mới mua máy nhưng ko biết cách dùng s pen. Mình ko ghi được,3
Cho hỏi mình mua tab s6 lite và mua cáp để nối với máy chiếu rồi sao không kết nối được với máy chiếu để trình chiếu pp,3
Ở thế giới di động có bán bàn phím dành cho tab ko,2
MÁY CÓ XÀI BÀN PHÍM RỜI ĐƯỢC KHÔNG AH,3
Chíp này ngang với chíp nào của snap nhỉ,1
May galaxy tab 9.6 có còn thay pin k máy hết bảo hành rồi,3
Chụp exynos 9611 vs chip sdt 662 chip nào mạnh hơn đó ạ,1
Máy này sạc dùng củ sạc nhanh 25w đc ko ạ,3
Máy có tặng kèm bao da ko ạ,0
Máy có thể sử dụng các tính năng của Office văn phòng đầy đủ như Laptop không ạ?,3
Bút spen có chức năng dịch từ tiếng Anh sang tiếng Việt và ngược lại không các bạn ?,3
ban phim roi mua o dau va gia bao nhieu a,2
các chức năng chỉnh sửa văn bản có thể hổ trợ bàn phím rời kết nối chỉnh sửa trưc tiếp được không ạ,3
Máy có dùng bàn phím rời ko ạ?,3
Nếu bút spen bị hư thì mình đặt mua riêng tại shop đc k ạ?,2
"Máy này có thể chơi ""chiến game"" Liên Quân mobile, Free Fire và PUBG mobile được không? Đồ họa thì như thế nào? Có giật lag không?",5
"Lúc trước tặng phiếu mua hàng Samsung, giờ cắt mất thì shop để đó chả ai mua",3
Xin thủ tục trả góp cần những gì ad,6
Ad cho em biết cách chụp màn hình của con table s6 lite này như thế nào ạ ?,3
con này có dùng được bút spen không .,3
Cho hỏi là cách đây khoảng 3 tháng e cs mua một cái tab s6lite hôm nay lúc e vô hình ảnh để làm bài tập một hồi khoảng 1 tiếng rồi e thoát ra thư viện nhưng vẫn thấy mờ mờ cái ảnh đó ạ cho e hỏi đây là lỗi dì ạ,3
Điểm an tu tu của con này nhiu vậy ad,5
Có chuyển sang chế độ sam sung dex đc k ạ,3
Có bán giá đỡ đi kèm k vậy..?,0
Sản phẩm còn hàng tại đồng tháp k ạ,7
Bạn oi bạn hướng dẫn mình nhấn vào đâu để gửi hình ở các thiết bị của samsung vậy,3
Sản phẩm có kèm book cover k ạ?,0
Giá trên có bao gồm book cover k ạ?,6
Mình mua 8.940.000 thì mất phí bao nhiu ạ,6
Nếu k hài lòng sản phẩm mình trả lại thì mất phí bao nhiu ạ,6
Gắn thẻ nhớ 16GB zô đc ko,2
San pham con hàng tại Đà Nẵng k?,7
Có Chứng Minh vs Bằng Lái mua Trả góp đc ko ạk,6
Bộ sạc kèm theo máy có phải sạc nhanh không ạ ? Nếu lấy bộ sạc nhanh 25 W của Note 20 ultra sạc cho máy tính bảng này có được không ad ?,0
Máy có tặng kèm bao da k ạ,0
Tab s6 lite này mình có dán kính cường lực tại TGDD k?,2
tab này gắn sim sử dụng nghe gọi như smartphone luôn phải không ạ.mà 4-10 đặt hàng trả góp 0% thì có áp dụng giá này ko vậy a.,6
Máy đang cầm để chơi mà sơ ý tay lắc máy là màn hình tối rồi lắc lại sáng lên là bị sao vậy,4
MÁY NÀY KẾT NỐI VS MÁY CHIẾU DC KO V,3
Máy này chơi Sky: children of the light được không ạ?,5
"Máy có chức năng nhận diện khuân mặt để mơe khóa, vào ban đêm k có ánh đèn có ảnh hưởng j đến chức năng này k b.",5
Mây có tất cả bao nhiêu ngôn ngữ ạ,3
Cho e hỏi ss tab s6 lite và tab s6 có hỗ trợ sạc ko dây ko ạ,3
"Máy này có thể chơi ""chiến game"" Liên Quân mobile được không? Đồ họa thì như thế nào? Có giật lag không?",5
cho hỏi nếu mua trả góp mà không cần trả trước với sản phẩm này có được không? nếu được thì góp 12 tháng mỗi tháng góp bao nhiu? hồ sơ góp cần những gì?,6
Phiếu mua hàng ss 2tr1 dc sử dụng như thế nào ??,6
Bac Giang con hang khong a?,7
Chi nhánh ở huế còn hàng k?,7
Tgdd có quẹt thẻ tại cửa hàng k ạ,6
Máy có cho trả trước 0đ không?,6
Bút Spen này có ghi chú trực tiếp trên file định dạng pdf được k ạ?,3
2tr có áp dụng mua ôp cho máy được k0 ?,0
sản phẩm có kèm bút spen không ạ ?,0
phiếu quà tặng có thời hạn giá trị trong bao lâu vậy?,0
S pen của tab có chống tỳ tay khi viết không,0
2tr khuyến mãi có đc trừ truecj tiếp vào giá máy không,0
Cho mình hỏi phiếu mua hàng 2.1tr này có được trừ khi mua galaxy watch 3 đã tính khuyến mãi 15% + 2tr galaxy gift ko ah ?,0
"Có thể hướng dẫn mình cách bật lại chế độ chia đôi màng hình, mở 2 ứng dụng cùng lúc đc k ạ, sáng nay sau khi cập nhật lại mấy thì nó k còn chức năng này nữa",3
Kt giúp e sđt xxxx871778 mua tab s6 lite đổi trả lại đc bn ạ,6
Cái này bên mình đã kèm bao da chưa ạ ad?,6
"Dạ ad ơi cho em hỏi dòng sản phẩm samsung s6 lite này, khi mình làm việc trên word hoặc file pdf có cho phép mình chỉnh sửa hay take note lại ngay trên văn bản bằng bút S-pen không ạ, em chưa hiểu rõ về sản phẩm mong ad giải thích giúp em ạ. Em cám ơn",3
Máy này có thể nghe gọi như đt phải k bạn,3
E muốn sử dụng máy này day trình chiếu lên tivi ko qua day dc kh,3
Khuyến mãi 2tr1 có được trừ vào giá sản phẩM k ạ,6
Cho mình hỏi cách chup màn hinh tap 6 lite thê nào ạ,3
Máy có kết nối được với Ổ cứng HDD 2TB WD My Passport G0020BBK Đen thông qua cap otg không QTV ơi?,3
Sao sau khi cập nhật phần mềm ko mở xem hai ứng dụng cùng một lúc nữa....,4
Phiếu mua hàng 2tr1 có áp dụng cho đt samsung A51 hk ạ ?,0
"Cho mình hỏi, 2tr1 này mình dùng mua ốp lưng của tab s6 lite này được không ạ? Ốp chính hãng của máy này luôn ấy ạ",0
Phiếu mua hàng 2tr1 có thể áp dụng vào giá thành sản phẩm không ạ,0
Nếu mới dán màn hình chưa tới 1 tháng mà máy bị lỗi đổi máy mới thì dán lại có miễn phí hay không hoặc giá bao nhiêu ạ cho em xin giá cụ thể,4
Nếu table của em bị lỗi được đổi lại máu mới thì bên cửa hàng có dán màng hình lại không hay là vẫn phải trả tiền để dán lại ạ,4
"Phiếu mua hàng Samsung 2,100,000đ : có áp dụng cho mua trả góp điện thoại samsung khác không ạ ?",0
Spen của S6 lite có chức năng dịch thông minh không Thế giới di động ?,3
Hướng dẫn chụp màn hình tren sam sung Tab S6 Lite dùm,3
"Mình mua 1 cái tab6 này được tặng phiếu giảm 2tr1, mình dùng phiếu 2tr1 này mua thêm 1 cái tab 6 nữa có đc k?",0
